ID,Płeć,Wiek,Odległość,Szum tła (dB),Wynik
a7a3d56c-284f-4c70-9b11-49d0c7adefc5,female,31_50,50cm,-68.72537377824186,0
a7a3d56c-284f-4c70-9b11-49d0c7adefc5,female,31_50,50cm,-68.72537377824186,0
a7a3d56c-284f-4c70-9b11-49d0c7adefc5,female,31_50,50cm,-68.72537377824186,0
a7a3d56c-284f-4c70-9b11-49d0c7adefc5,female,31_50,50cm,-68.72537377824186,0
a7a3d56c-284f-4c70-9b11-49d0c7adefc5,female,31_50,50cm,-68.72537377824186,0
a7a3d56c-284f-4c70-9b11-49d0c7adefc5,female,31_50,1m,-68.72537377824186,0
a7a3d56c-284f-4c70-9b11-49d0c7adefc5,female,31_50,1m,-68.72537377824186,0
a7a3d56c-284f-4c70-9b11-49d0c7adefc5,female,31_50,1m,-68.72537377824186,0
a7a3d56c-284f-4c70-9b11-49d0c7adefc5,female,31_50,1m,-68.72537377824186,0
a7a3d56c-284f-4c70-9b11-49d0c7adefc5,female,31_50,1m,-68.72537377824186,0
a7a3d56c-284f-4c70-9b11-49d0c7adefc5,female,31_50,3m,-68.72537377824186,0
a7a3d56c-284f-4c70-9b11-49d0c7adefc5,female,31_50,3m,-68.72537377824186,0
a7a3d56c-284f-4c70-9b11-49d0c7adefc5,female,31_50,3m,-68.72537377824186,0
a7a3d56c-284f-4c70-9b11-49d0c7adefc5,female,31_50,3m,-68.72537377824186,0
a7a3d56c-284f-4c70-9b11-49d0c7adefc5,female,31_50,3m,-68.72537377824186,0
a7a3d56c-284f-4c70-9b11-49d0c7adefc5,female,31_50,5m,-68.72537377824186,0
a7a3d56c-284f-4c70-9b11-49d0c7adefc5,female,31_50,5m,-68.72537377824186,0
a7a3d56c-284f-4c70-9b11-49d0c7adefc5,female,31_50,5m,-68.72537377824186,0
a7a3d56c-284f-4c70-9b11-49d0c7adefc5,female,31_50,5m,-68.72537377824186,0
a7a3d56c-284f-4c70-9b11-49d0c7adefc5,female,31_50,5m,-68.72537377824186,0
